# order	profile	group	repo	patch	origin	sha256	rationale
24	recommended	core	system/core	patches/system/core/024-gsi-staging-0002-Restore-old-kernel-support-in-init-and-libprocessgro.patch	gsi-staging	fc9e9f65cd21faac2cfd5e97ba7c732c0213b8fe3136b6a2f6159c7d4f701dfe	Make cgroup controller setup non-fatal
25	recommended	core	system/core	patches/system/core/025-gsi-staging-0003-libprocessgroup-fall-back-to-v1-memcg-for-lmkd-compa.patch	gsi-staging	f63ee06ac7d0a3adf86610763dcb653d43fb13175d331d93241a31cb08019e85	Fallback to cgroup v1 memory controller
26	recommended	core	system/core	patches/system/core/026-gsi-staging-0004-init-tolerate-EROFS-on-restorecon-of-system-bin-init.patch	gsi-staging	32848031f0062deb2370303a529316a4223c2fdc9d078e9b37c2742e8c04b5f8	Tolerate read-only restorecon target
30	recommended	core	system/core	patches/system/core/030-gsi-staging-0008-libprocessgroup-tolerate-ENOENT-on-cgroup-procs-write.patch	gsi-staging	5a4b961139a6f206a7c41ec456084497b5b7accbfae66f903aacd2d87018eb5d	Tolerate missing cgroup.procs
31	recommended	media	system/core	patches/system/core/031-legacy23-0003-Camera-Add-feature-extensions.patch	legacy23	454bf74a7e43199f52cc0af5b84fcae1f569719868aa03d78af3bb60074fb6a8	Restore legacy camera command enums only
32	recommended	core	system/memory/lmkd	patches/system/memory/lmkd/032-gsi-staging-0001-Auto-promote-to-new-kill-strategy-on-cgroup-v2.patch	gsi-staging	2cb94476bbef0d30e7cec5c49282464edfc52f6836eafee2f052008c4dee5a65	Prevent lmkd exit on incompatible strategy
33	recommended	core	system/sepolicy	patches/system/sepolicy/033-gsi-0002-Fix-sepolicy-for-kernel-5.10-that-doesn-t-support-bp.patch	gsi	a4a3e989a1615628ec5eccfe66095a5ed319c5a77ca97f11a3dce5b98aea4d99	Handle kernels without BPF file contexts
34	recommended	core	system/libhidl	patches/system/libhidl/034-legacy23-0001-Revert-delete-gBn-sConstructorMap.patch	legacy23	84f481b1b65973f710b8b04f57429fdac47590990e505d2ce768075997d60aee	Restore compatibility for old HIDL services
35	recommended	core	system/libhwbinder	patches/system/libhwbinder/035-legacy23-0001-Don-t-crash-Binder-threadpool-cannot-be-shrunk-after.patch	legacy23	7c9f4164b207be3a6c721fa3891df9dc47546435d04c94179798b0a72a5ca439	Avoid old HIDL Binder threadpool crash
36	recommended	bpf	packages/modules/Connectivity	patches/packages/modules/Connectivity/036-gsi-0001-Allow-failing-to-load-bpf-programs-for-BPF-less-devi.patch	gsi	38dd0c0a4e1363ef63850037a4c0eed6c51cf2080b7d8a360045511b71abab8c	Allow BPF program load failure
37	recommended	bpf	packages/modules/Connectivity	patches/packages/modules/Connectivity/037-gsi-0002-Support-non-working-BPF-maps-on-old-BPF-less-kernel.patch	gsi	bc42d244037030a044383c680fe5cf064b9ff9cf90d917575cd78b08ca15747b	Fallback for unusable BPF maps
38	recommended	bpf	packages/modules/Connectivity	patches/packages/modules/Connectivity/038-gsi-0005-netd-Remove-4.14-kernel-restrictions.patch	gsi	1f5670601a3b595b170a7eaac093e1fae7877b7652d7b635fe8003d90c267f88	Remove old-kernel version restriction
39	recommended	bpf	packages/modules/Connectivity	patches/packages/modules/Connectivity/039-gsi-0006-More-bpf-errors-ignore-there-are-some-4.14-without-t.patch	gsi	70de89d175b7ce71a15615cf726c34746e96f6bdfcd0b4f80bed681f99470529	Ignore additional BPF errors
40	recommended	bpf	packages/modules/Connectivity	patches/packages/modules/Connectivity/040-gsi-0007-Revert-netdupdatable-add-back-abort-on-init-fail.patch	gsi	7f550a9a2c01bccece9c9a95ec1fa1660eec47f7a8506ea3e93301f2f2037867	Do not abort NetdUpdatable
41	recommended	bpf	packages/modules/Connectivity	patches/packages/modules/Connectivity/041-gsi-0008-Additional-bpf-prevent-crash.patch	gsi	169841be64f914b6f7a076516bf3685415e8437f6329c5b4bab3e0e3b5ca1066	Prevent framework crashes without BPF
42	recommended	bpf	packages/modules/Connectivity	patches/packages/modules/Connectivity/042-gsi-0009-Some-additional-handling-of-bpf-less-device.patch	gsi	faf9c06d469118539a37c66dcebfe2eb7f10a4d86d86e357138d0a797060308c	Additional BPF-less handling
43	recommended	bpf	packages/modules/Connectivity	patches/packages/modules/Connectivity/043-gsi-staging-0001-NetBpfLoad-Relax-all-kernel-version-and-capability-c.patch	gsi-staging	c0fca8efca243fe7f16d390ca469ab65e9f06f977d8d2bdd08fe5b728def646a	Relax NetBpfLoad checks
45	recommended	bpf	packages/modules/Connectivity	patches/packages/modules/Connectivity/045-gsi-staging-0003-BpfHandler-and-BpfNetMaps-convert-fatal-errors-to-no.patch	gsi-staging	816cd89fb99c5005cad62a13daf3368ffd53cbe6d34c5c3b7eb27063c5ce011a	Convert BPF fatal errors to warnings
46	recommended	bpf	packages/modules/Connectivity	patches/packages/modules/Connectivity/046-gsi-staging-0005-treat-non-optional-BPF-program-load-failures-as-non-.patch	gsi-staging	516749a317744e4bc4dd3eef714430955ef41c9f29317be3728b65d1a2f67127	Treat required BPF load failures as non-fatal
47	recommended	bpf	packages/modules/Connectivity	patches/packages/modules/Connectivity/047-gsi-staging-0006-Tethering-fall-back-to-modern-DNS-resolver-when-dns.patch	gsi-staging	76eb36112d219ec9cce43983f852245f5bbe56d05268e92eec4acb43cb421939	Keep tethering usable without legacy dnsmasq assumptions
48	recommended	bpf	packages/modules/Connectivity	patches/packages/modules/Connectivity/048-gsi-personal-0001-net-Gracefully-fallback-when-eBPF-firewall-maps-are-unavailable.patch	gsi-personal	01d1799282c33a77f11e2ba5a6d10dbabffb257e8f6b6e52b348f5e0191bac73	Gracefully fallback without firewall maps
49	recommended	bpf	packages/modules/DnsResolver	patches/packages/modules/DnsResolver/049-gsi-0001-Dont-abort-if-the-DnsHelper-failed-to-init-on-BPF-le.patch	gsi	7bcf2b70a5672872edb88b158ea5c1f7308f5a7dd6199fe0853c75f84c132d9d	Do not abort DNS resolver without BPF
50	recommended	bpf	system/bpf	patches/system/bpf/050-gsi-0001-Support-no-bpf-usecase.patch	gsi	38f87e2369b537678d5a061a59110b3a5d98368704249411eb4df9abb1491e70	Add no-BPF mode
51	recommended	bpf	system/bpf	patches/system/bpf/051-gsi-0003-Prepare-for-the-future-making-bpfloader.rs-fails-all.patch	gsi	7b0ba0135747aea300f9ef66ae34b8c2ecf621b4821eca25b6960dd9e62ce2ed	Make Rust BPF loader failures non-panic
52	recommended	bpf	system/bpf	patches/system/bpf/052-gsi-staging-0001-bpfloader-relax-kernel-version-gates-and-fatal-error.patch	gsi-staging	6241ec325c8674fdef39fc1c725da895f1bb9d240ba21a6f0cd20b12613d7842	Relax BPF loader gates
53	recommended	bpf	system/netd	patches/system/netd/053-gsi-0003-Support-no-bpf-usecase.patch	gsi	31309bd656a62ee7753f3cdf8734163c5c156512dd775db708a837327b3d1e05	Allow netd without BPF
54	recommended	bpf	system/netd	patches/system/netd/054-gsi-0004-Don-t-abort-in-case-of-cgroup-bpf-setup-fail-since-s.patch	gsi	79c0ae7ae0eec130de923474bc8c69ef7491f24d6281acb9b44fad93f4e23f06	Do not abort on cgroup/BPF setup failure
55	recommended	storage	system/vold	patches/system/vold/055-gsi-staging-0001-vold-use-sdcardfs-as-fallback-when-FUSE-BPF-is-unavai.patch	gsi-staging	e0832272591384b7f2cf5092f5f235e9acf0c1a5471c50b5c05a5f1db0672fcc	Fallback to sdcardfs when FUSE-BPF is unavailable
56	recommended	media	frameworks/av	patches/frameworks/av/056-gsi-0002-Fix-BT-in-call-on-CAF-devices.patch	gsi	fb5e115c5979ccfb2ed54f41c9e85b51c9a54c0e7ba2d8aa5381c1deae4d9104	Bluetooth call routing compatibility
57	recommended	media	frameworks/av	patches/frameworks/av/057-gsi-0008-There-are-three-SCO-devices.-Fallback-from-one-to-th.patch	gsi	2d8daba0f8e8250545ec13bec21b7ccc9d92e55a81702963241d54c659356b2e	Fallback among SCO devices
58	recommended	media	frameworks/av	patches/frameworks/av/058-gsi-staging-0001-CameraParameters-dont-segfault-on-NULL-key-or-value.patch	gsi-staging	14a9e43f14b4f4241824dad8f539f112ef0851bbcf13a844f985661dd44ea3c4	Prevent legacy camera parameter NULL crash
59	recommended	media	frameworks/av	patches/frameworks/av/059-gsi-staging-0002-Free-buffers-on-observer-died.patch	gsi-staging	d42c8ead888ac8844b6394560ffae9eef67cba09bebefff60f270d1046361cc9	Free OMX buffers after observer death
60	recommended	media	frameworks/av	patches/frameworks/av/060-legacy23-0001-Revert-Remove-source-code-of-all-the-OMX-software-co.patch	legacy23	d5311dc6c90f5fd5a1028e8f994e3d1824a0f738f4ecf75fdfbdfc6c002796dd	Restore software OMX codec sources
61	recommended	media	frameworks/av	patches/frameworks/av/061-legacy23-0002-Revert-Disable-building-software-OMX-codecs.patch	legacy23	337d2f96e8f239fc38bb598fe6be8dadcdf025374cf6155c83bd843475cf1140	Build restored software OMX codecs
62	recommended	media	frameworks/av	patches/frameworks/av/062-legacy23-0003-omx-suppress-unused-but-set-variable.patch	legacy23	3fe34c0ebc9399dcc39395ac83a3321262176dcf641ecdcb4518254365b9f781	Fix OMX compiler warning/error
63	recommended	bluetooth	packages/modules/Bluetooth	patches/packages/modules/Bluetooth/063-gsi-0004-Don-t-abort-when-failing-to-get-real-time-priority.patch	gsi	481a27c2ce847fba0c2cf2defc38ce999d5195274bf8052c5e22e25fbdc05505	Do not abort Bluetooth on RT-priority failure
64	recommended	bluetooth	packages/modules/Bluetooth	patches/packages/modules/Bluetooth/064-gsi-0005-On-Samsung-devices-we-need-to-tell-Audio-HAL-if-we-r.patch	gsi	1fe79ffc3e8b0a4890d2f422a23fcc54b79a36adeca06cb8bde33b6d18fd77d0	Tell Samsung Audio HAL SCO bandwidth
65	recommended	bluetooth	packages/modules/Bluetooth	patches/packages/modules/Bluetooth/065-gsi-0008-gd-hci-Ignore-command-READ_REMOTE_VERSION_INFORMATIO.patch	gsi	597d63389f94624a1d78b0da59002efd39daad342f531d90a4c3812eafe57eda	Ignore problematic remote-version result
66	recommended	hardware	hardware/broadcom/wlan	patches/hardware/broadcom/wlan/066-legacy23-0001-HACK-wifi_hal-avoid-CFI-crash-when-wifi-is-turning-o.patch	legacy23	7e6cef2a010ae208c3ec146899f2e28d62c40a22ee04261339070d63d529bff8	Avoid Broadcom Wi-Fi CFI crash
67	recommended	hardware	hardware/libhardware	patches/hardware/libhardware/067-legacy23-0001-hardware-libhw-Add-display_defs.h-to-declare-custom-.patch	legacy23	9da592de4836853409f4a9c9c69a4b32a107d5c79ffd640d2722fc2ec4673f08	Restore custom legacy display formats
68	recommended	hardware	hardware/ril	patches/hardware/ril/068-legacy23-0001-libril-Restore-support-for-RIL-v6-v8-and-v9-stacks.patch	legacy23	0fd5f70d995adce9f9974356d5ea297ba55dcbfe5b7b5acc6a44d6d4ba6276e4	Restore old Samsung RIL protocol versions
69	recommended	hardware	system/tools/mkbootimg	patches/system/tools/mkbootimg/069-legacy23-0001-mkbootimg-add-support-for-dt.patch	legacy23	746ce4068b8de7fd6d50c80b6f9f116169d092a1883fa888a7d36f7e208c26a0	Restore legacy --dt boot image support
70	optional	display	frameworks/base	patches/frameworks/base/070-gsi-0002-Fallback-to-stupid-autobrightness-if-brightness-valu.patch	gsi	543fb5b2a87047b78ab4054fc657150731f3664e7ce71555329a91eb68d72809	Fallback when brightness arrays are invalid
71	optional	display	frameworks/base	patches/frameworks/base/071-gsi-0014-Fix-brightness-range-not-being-complete-on-Samsung-d.patch	gsi	3de3da80fcfde90554d77ddbb357856d60e6f334a055f5f0afcfde279199452a	Samsung brightness range compatibility
72	optional	display	frameworks/base	patches/frameworks/base/072-gsi-0038-Fix-brightness-slider-curve-for-some-devices.patch	gsi	eb98633c87c672bd073cebf291306f477f3ab2cd5ffca9e1dfe5ebdda25ddebd	Legacy brightness slider curve
73	optional	display	frameworks/native	patches/frameworks/native/073-gsi-0010-Fix-loading-unnamed-GLES.patch	gsi	04dd590ab9116bebf7e17d5804e236a5cdead2ca5910b778a4a205069bae7603	Support unnamed legacy GLES implementations
74	optional	display	frameworks/native	patches/frameworks/native/074-gsi-staging-0006-fix-display-power-on-for-vendor-HWCs-with-stale-boot.patch	gsi-staging	55e408fd3d767817e30a1c0fd2a09297b05eb4272e44093ab5e8f18b1158cd61	Recover display power with stale vendor HWC state
75	optional	audio	frameworks/av	patches/frameworks/av/075-gsi-0001-APM-Restore-S-R-and-Q-behavior-respectively-for-tele.patch	gsi	fe474c117e0c8944446088aa215be322b26794b595a3a18680526379cffc5316	Restore older telephony audio-policy behavior
76	optional	audio	frameworks/av	patches/frameworks/av/076-gsi-0012-No-longer-make-re-assigning-legacy-audio-groups-fata.patch	gsi	429f6931ac130e52dae40694e1aaf7ff7893bc481f105eebbee075a83ba7066a	Make legacy audio-group reassignment non-fatal
77	optional	audio	frameworks/av	patches/frameworks/av/077-gsi-0020-Add-a-prop-to-disable-AUDIO_OUTPUT_FLAG_FAST-from-au.patch	gsi	b97b4733e28098889be9218ed2b7fed2d38e1e46b5e889c5518ce0e1b9492a74	Property to disable FAST output
78	optional	bluetooth-extra	packages/modules/Bluetooth	patches/packages/modules/Bluetooth/078-gsi-0002-Don-t-crash-on-status-UNSUPPORTED_REMOTE_OR_LMP_FEAT.patch	gsi	82a9a7db76bfb0204c5b589bcfe552d41380e1362ec1835146bf67fb7b020461	Ignore unsupported remote/LMP feature result
79	optional	bluetooth-extra	packages/modules/Bluetooth	patches/packages/modules/Bluetooth/079-gsi-0003-Add-option-to-change-eSCO-Transport-Unit-Size.patch	gsi	c038e51c0fa341b13837d9bab5d4d48ed35b78b3664341aaefea91cc70c126d8	Configurable eSCO transport unit size
80	optional	bluetooth-extra	packages/modules/Bluetooth	patches/packages/modules/Bluetooth/080-gsi-0006-Add-properties-to-disable-some-features-commands-sta.patch	gsi	97c7ce48add383ade59f262ea16a2ecd881340414f7be23528156aca59c31dd7	Properties to disable problematic Bluetooth commands
81	optional	vintf	hardware/interfaces	patches/hardware/interfaces/081-gsi-staging-0002-compatibility_matrices-restore-old-kernel-config-ent.patch	gsi-staging	3c49b9cc023571a201aa11ea0723295357b9334a3ac4eb886656693b1ea3bbbb	Restore older kernel entries in compatibility matrices
82	optional	vintf	kernel/configs	patches/kernel/configs/082-gsi-staging-0001-Restore-old-kernel-configs-and-lower-version-require.patch	gsi-staging	06ce431a5274402de0d1b526168d3c8b761c05669e7ed580b4a5a1c4d26f4fb9	Restore older kernel config definitions
83	optional	tweaks	frameworks/base	patches/frameworks/base/083-legacy23-0003-Don-t-use-PATTERNED-style-ripple-effect-by-default.patch	legacy23	b7b8edcfa410261e8f894e5e1332cc0ea277154a9a7b29e6fa1c81efbd935a88	Reduce UI ripple GPU load
84	optional	tweaks	frameworks/base	patches/frameworks/base/084-legacy23-0004-Don-t-use-stretch-effect-by-default.patch	legacy23	fdedf8ca6da199003b03248662b6451acdad96f077fceea4db63ebc5ebdb5f89	Disable stretch effect by default
85	optional	tweaks	frameworks/base	patches/frameworks/base/085-legacy23-0005-batterysaver-add-property-to-disable-night-mode-on-b.patch	legacy23	0619a9e3a3feca34ded93cdb40c8d03aa202f3446ad12a9eafae78cca48d0f18	Optional battery-saver night-mode property
86	optional	tweaks	frameworks/base	patches/frameworks/base/086-legacy23-0007-am-do-not-protect-cached-processes-from-proactive-ki.patch	legacy23	4f092f7a7819f054384f3813f257e149ceaaf200ab963def8fefdff7d19cacb5	Permit cached process reclamation
87	recommended	core	bionic	patches/bionic/087-local-0001-bionic-make-invalid-pthread-t-non-fatal.patch	lineage-diff-20260727	47a9e1de959834cabd5caf6a885f79f7df7670eda72e15dcf9c010ec380d0920	Avoid aborting legacy vendor callers that pass an invalid pthread_t.
88	recommended	core	frameworks/base	patches/frameworks/base/088-local-0001-services-tolerate-unavailable-Power-HAL-hint-support.patch	lineage-diff-20260727	6d16b8c47cecc8ec105c619bafa253a2c6c051a52b8bc6e4cdf93bdb2bc25b57	Keep HintManagerService alive when the modern Power HAL support query is unavailable.
89	recommended	media	frameworks/av	patches/frameworks/av/089-local-0001-omx-defer-buffers-while-encoder-enters-Executing.patch	lineage-diff-20260727	3d21ca1272bc73d1d560ca106c5331044bcbd2c0b5eb4c041a1bd48fa829de24	Avoid OMX service aborts when buffers race the Idle-to-Executing transition on slow legacy devices.
90	recommended	hardware	hardware/ril	patches/hardware/ril/090-local-0001-libril-disable-the-AOSP-shared-library-variant.patch	lineage-diff-20260727	d4f9ffd9266683bfdcd01a074ceade070c61129e4666495e407ecc306a05e03c	Prevent the stock AOSP libril module from being selected when the legacy Samsung radio stack provides its own implementation.
91	recommended	bpf	packages/modules/Connectivity	patches/packages/modules/Connectivity/091-local-0001-ClatCoordinator-make-fatal-permission-result-non-fatal.patch	lineage-diff-20260727	436e8d29afdf65517efc7dffc0593208e24676b9aab25e87527c470f5003e6e4	Return instead of aborting Connectivity when CLAT permission verification reports a fatal result.
92	recommended	core	system/apex	patches/system/apex/092-local-0001-apexd-avoid-bootloader-reboot-on-bootstrap-failure.patch	lineage-diff-20260727	1e1fe3c9638d36aab74666760d7f1132b9fb00e655f1963cc6fbf2a2507872e0	Remove bootstrap apexd reboot_on_failure behavior used by newer devices.
93	recommended	bpf	system/netd	patches/system/netd/093-local-0001-netd-make-controller-initialization-failures-non-fatal.patch	lineage-diff-20260727	396ba5e34af7ffc3f3f477de01a12ebbfd69bc485d2fcf096d4d8212100a0c5c	Keep netd alive when legacy kernel networking features fail to initialize.
94	recommended	hardware	vendor/lineage	patches/vendor/lineage/094-local-0001-kernel-support-BOARD-CUSTOM-KERNEL-MK.patch	lineage-diff-20260727	9c016c021c9a748d01fe769a661b2a947d79f69575ef74a0d5edf84cbda1ca71	Allow device trees to provide a custom kernel make fragment and custom kernel output rule.
